,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,submission_id,age,cups,where_drink,brew,brew_other,purchase,purchase_other,favorite,favorite_specify,additions,additions_other,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation
1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,oAVLP1,35-44 years old,2,At home,"Pour over, Espresso",,,,Espresso,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,3.0,5.0,Honey/Toffee/Caramel Apple,3.0,4.0,2.0,Archetypical Coffee,3.0,3.0,4.0,"Balanced, tea, a little thin",2.0,4.0,5.0,Tropical Fruit,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$15-$20,More than $20,Yes,$100-$300,Yes,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,No affiliation
1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,kYRBj1,35-44 years old,2,At home,Pour over,,,,Regular drip coffee,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,"Sweet, fruity (not fermented), Carmel",5.0,3.0,2.0,"Darker, bitter,",4.0,2.0,3.0,"Nice dirt flavor, lingers on tongue",1.0,5.0,5.0,"Tropical fruits, fermented, sweet, complex",Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$8-$10,$8-$10,No,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1252,1252,1252,1252,1252,1252,1252,1252,1252,1252,EPb79q,35-44 years old,3,"At home, At the office",Other,clever dripper,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,8.0,2.0,5.0,4.0,,4.0,1.0,1.0,,3.0,2.0,3.0,,1.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine",,Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,Yes,Male,,Master's degree,Hispanic/Latino,,Employed full-time,,Democrat
1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,aBrqMq,18-24 years old,1,"At home, At a cafe",Pour over,,,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Sweet,Medium,Medium,Full caffeine,6.0,2.0,4.0,3.0,"Green Apple, Berry, Fruity, little sweet",2.0,2.0,5.0,"Creamy, very slight fruit, milk chocolate, tea like, very light",4.0,2.0,2.0,"Slight chocolate, mocha",4.0,5.0,1.0,"Tangerine, orange, very bright and vibrant, a little fermented for sure",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",,Yes,Yes,$8-$10,$15-$20,Yes,$500-$1000,Yes,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,Republican
1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,GrBAVZ,25-34 years old,2,At home,"Pour over, Espresso, Coffee extract (e.g. Cometeer), Other",Aeropress,,,Espresso,,No - just black,,,,Fruity,Somewhat light,Light,Full caffeine,7.0,2.0,4.0,4.0,"Pear, Apple, Tea",2.0,4.0,3.0,"Jam, Chocolate, Nutty",2.0,3.0,3.0,Chocolate,1.0,5.0,5.0,"Sweet Tea, Honey, Orange,",Coffee A,Coffee D,Coffee D,I primarily work in person,<$20,I need the ritual,,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,,Independent
1255,1255,1255,1255,1255,1255,1255,1255,1255,1255,5dqP7d,25-34 years old,1,At home,Other,Aeropress and fellow ode v2,,,Other,Immersion brew,No - just black,,,,Fruity,Medium,Light,Full caffeine,5.0,1.0,5.0,4.0,"Lemon, apricot, apple tart",3.0,3.0,3.0,"Balanced, mushroom, butter, biscuit (or scone in the UK)",4.0,2.0,4.0,"Carmel Apple, dark chocolate",2.0,4.0,4.0,"Fermented strawberry, cherry, poptart",Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,It tastes good,,Yes,Yes,$6-$8,$4-$6,No,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,kYRBL6,18-24 years old,2,"At the office, At home, At a cafe, On the go",Pour over,,"Local cafe, Specialty coffee shop",,Pourover,,No - just black,,,,Fruity,Somewhat light,Light,Full caffeine,7.0,2.0,4.0,4.0,"Pear, lemon, nutty",3.0,3.0,1.0,"Weird acidity with lack of association, perhaps citrus/orange, not my cup of coffee",4.0,3.0,3.0,"Well rounded ""typical"" coffee. Nutty, chocolatey, medium acidity",1.0,5.0,5.0,"Hibiscus, melon, lime",Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,DVv6oR,18-24 years old,1,"At home, At a cafe",Other,immersion,,,Iced coffee,,Sugar or sweetener,,,Raw Sugar (Turbinado),Fruity,Somewhat strong,Light,Full caffeine,5.0,2.0,5.0,3.0,,4.0,2.0,4.0,,5.0,1.0,2.0,,1.0,4.0,5.0,,Coffee B,Coffee D,Coffee D,I do a mix of both,$20-$40,It tastes good,,Yes,Yes,$15-$20,More than $20,No,$100-$300,Yes,Prefer not to say,,Bachelor's degree,Other (please specify),,Employed full-time,,No affiliation
1258,1258,1258,1258,1258,1258,1258,1258,1258,1258,GrBAGj,18-24 years old,2,"At home, At the office","Pour over, Cold brew, Other",Aeropress,,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,4.0,"Dates, dried fruit, apples",3.0,2.0,3.0,"Caramel, smooth mouth feel",4.0,2.0,2.0,"Dark chocolate, dark berries",2.0,3.0,5.0,Blueberries,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$8-$10,$15-$20,Yes,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
1259,1259,1259,1259,1259,1259,1259,1259,1259,1259,24xG9L,25-34 years old,1,At home,Other,Aeropress/Clever Dripper,,,Other,Immersion Brew,No - just black,,,,Fruity,Very strong,Light,Full caffeine,8.0,1.0,2.0,3.0,"Chocolatey, Creamy thick, light fruit( Strawberry/apple(gala/fuji))",3.0,1.0,3.0,"Salted Dark Chocolate, Smooth",4.0,2.0,1.0,,2.0,3.0,5.0,"Wild Blueberry, very sweet",Coffee A,Coffee D,Coffee D,I primarily work in person,<$20,"It tastes good, I need the ritual",,Yes,Yes,$4-$6,$8-$10,No,$100-$300,Yes,Male,,Master's degree,White/Caucasian,,Employed part-time,,Democrat
1260,1260,1260,1260,1260,1260,1260,1260,1260,1260,lNlkGW,35-44 years old,2,"At home, At the office",Espresso,,,,Cortado,,"Milk, dairy alternative, or coffee creamer",,"Whole milk, Skim milk",,Bold,Somewhat strong,Medium,Full caffeine,6.0,3.0,4.0,2.0,"Bright, Caramel",3.0,1.0,3.0,Balanced,4.0,1.0,3.0,Earthy,4.0,3.0,4.0,"Funky, fruity, fermented, berries",Coffee B,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the ritual",,Yes,Yes,$15-$20,$15-$20,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1261,1261,1261,1261,1261,1261,1261,1261,1261,1261,vNx58v,25-34 years old,2,"At a cafe, At home, On the go",Coffee brewing machine (e.g. Mr. Coffee),,"Specialty coffee shop, Local cafe",,Other,"Any sort of signature beverage that plays with flavors (housemade syrup lattes, tonics, etc)",No - just black,,,,Juicy,Somewhat light,Light,Full caffeine,9.0,2.0,4.0,4.0,"Orange peel--not juicy but bright, milk chocolate, round, grew much brighter as it cooled. I got apple once he said it (of course that's the roundness!)",3.0,3.0,3.0,Dark chocolate covered cherries. Nothing super stood out to me. Balanced like an orchestra playing a song I feel neutral about.,4.0,1.0,2.0,"Roasty toasty, nutty. Generally not my vibe but maybe with cream I'd enjoy it more. Weirdly get a little banana? Maybe mouth-feel brain-trickery?",1.0,5.0,5.0,"Very bright! Almost a little too much, but I love weird and fruity coffees. Tastes like the expensive single origin chocolate that's become more prevalent. Dried, gummy-like fruit notes. Those Brookside chocolate acai candies",Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the ritual",,Yes,Yes,$15-$20,More than $20,Yes,$20-$50,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1262,1262,1262,1262,1262,1262,1262,1262,1262,1262,g5N6BN,18-24 years old,Less than 1,At a cafe,,,,,Iced coffee,,Sugar or sweetener,,,Granulated Sugar,Full Bodied,Medium,Light,Decaf,2.0,1.0,1.0,4.0,Sweeter. Flowery,3.0,4.0,5.0,"Dirt? Liked at beginning and end, not the middle. Very nice aroma",4.0,2.0,3.0,Milk chocolate,4.0,3.0,3.0,Tart,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,It tastes good,,Yes,No,$6-$8,$8-$10,Yes,Less than $20,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1263,1263,1263,1263,1263,1263,1263,1263,1263,1263,OABMRK,25-34 years old,2,"At home, At the office, On the go","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,Specialty coffee shop,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,5.0,2.0,3.0,4.0,,2.0,1.0,2.0,,2.0,2.0,2.0,,1.0,3.0,5.0,,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,"It tastes good, I need the caffeine",,Yes,No,$8-$10,$8-$10,No,$500-$1000,Yes,Female,,Bachelor's degree,Hispanic/Latino,,Employed full-time,2,Democrat
1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,eBxWVq,45-54 years old,2,At home,"Pour over, Coffee extract (e.g. Cometeer), Bean-to-cup machine, Coffee brewing machine (e.g. Mr. Coffee)",,,,Pourover,,No - just black,,,,Fruity,Medium,Medium,Full caffeine,4.0,1.0,5.0,3.0,,4.0,1.0,2.0,,4.0,1.0,3.0,,2.0,4.0,4.0,,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",,Yes,Yes,$6-$8,$6-$8,No,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,g5N621,25-34 years old,1,"At home, At the office",Pour over,,,,Pourover,,No - just black,,,,Bright,Somewhat light,Light,Full caffeine,6.0,1.0,5.0,4.0,Apple juice,5.0,1.0,4.0,,4.0,3.0,3.0,,3.0,3.0,5.0,,Coffee A,Coffee D,Coffee D,I do a mix of both,$80-$100,"I need the ritual, I need the caffeine, It tastes good",,Yes,Yes,$10-$15,$10-$15,Yes,,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,No affiliation
1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,5dqPJM,35-44 years old,Less than 1,At home,"Espresso, Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Half and half,,Chocolatey,Somewhat strong,Light,Decaf,2.0,2.0,3.0,2.0,Lemon,3.0,1.0,1.0,Chocolate,2.0,2.0,1.0,,2.0,4.0,4.0,Blackberry raspberry,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, It makes me go to the bathroom",,Yes,No,$8-$10,More than $20,Yes,"More than $1,000",Yes,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,7d9ryL,25-34 years old,1,"At the office, At home","Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Latte,,"No - just black, Milk, dairy alternative, or coffee creamer",,"Oat milk, Whole milk",,Nutty,Medium,Medium,Full caffeine,6.0,3.0,5.0,3.0,"Grapefruit, Tart",4.0,2.0,5.0,"Earthy, Chocolate, Nutty",2.0,3.0,4.0,"Bright, Apple",1.0,4.0,2.0,"Floral, Cherry, Fermented",Coffee B,Coffee A,Coffee B,I primarily work in person,$20-$40,"I need the ritual, It tastes good",,Yes,No,$8-$10,$6-$8,Yes,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,aBrq7E,45-54 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,,Full Bodied,Very strong,Light,Full caffeine,5.0,3.0,5.0,2.0,,2.0,3.0,3.0,,4.0,2.0,4.0,,2.0,5.0,2.0,,Coffee C,Coffee A,Coffee C,I primarily work from home,$60-$80,"It tastes good, I need the caffeine",,Yes,Yes,$4-$6,$4-$6,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,,,Employed full-time,2,No affiliation
1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,XeBPa4,55-64 years old,2,At home,"Coffee brewing machine (e.g. Mr. Coffee), Other",Aeropress,,,Regular drip coffee,,No - just black,,,,Bold,Somewhat strong,Dark,Full caffeine,5.0,1.0,3.0,3.0,"It seemed very plain when hot, got more acid as it cooled.  It reminded me of chicory and I don't like that generally.",2.0,3.0,5.0,"Very smooth when hot, got a bit fruity aftertaste as it cooled.",3.0,4.0,4.0,"Definitely better hot.  It was very smooth, and my second favorite.",3.0,4.0,1.0,"Too fruity, almost rancid flavor.  Did not like it, hot or cold.",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,,Yes,Yes,$8-$10,$8-$10,Yes,$50-$100,Yes,Female,,Bachelor's degree,White/Caucasian,,Retired,2,No affiliation
1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,kYRBqJ,25-34 years old,2,At home,"Espresso, Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer, No - just black",,"Whole milk, Oat milk",,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,2.0,2.0,3.0,"Mild, smooth, watery",4.0,2.0,3.0,Balanced and sweet,1.0,5.0,2.0,Acidic and bright,2.0,3.0,5.0,"Fruity as it cooled, enjoyable",Coffee B,Coffee D,Coffee D,I do a mix of both,$40-$60,It tastes good,,Yes,No,$10-$15,$10-$15,No,$500-$1000,No,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation
1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,24xGGL,18-24 years old,1,"At home, At a cafe",Pour over,,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,8.0,1.0,5.0,4.0,"Citrusy acid, very bright. Reminds me of hibiscus tea. “Clear” taste, low body.",3.0,1.0,3.0,"Soft sweet. Slightly funky/ fermented? Nutty, caramel flavors.",3.0,2.0,3.0,"Thicker, richer than the rest. Brown flavors, almost musty (seems an overly negative word, I don’t dislike it!). Heavy.",2.0,4.0,5.0,"Sweet and acidic, like sweet apples or stonefruit. Vaguely floral? Very juicy.",Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the caffeine",,Yes,Yes,$8-$10,More than $20,Yes,$50-$100,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1272,1272,1272,1272,1272,1272,1272,1272,1272,1272,aBrqqq,25-34 years old,2,At home,"French press, Pour over, Espresso, Instant coffee, Other",Aeropress,,,Latte,,No - just black,,,,Chocolatey,Medium,Medium,Full caffeine,7.0,3.0,4.0,3.0,"Cranberry, Chocolate, Sour",4.0,3.0,2.0,"Earthy, Smoke, Caramel",4.0,2.0,5.0,"Cream, agave, flower",2.0,5.0,4.0,"Apple, Grape, Tart",Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"I need the caffeine, It makes me go to the bathroom, I need the ritual, It tastes good",,Yes,No,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,VZ1O6v,25-34 years old,2,"At home, On the go","Pour over, Other",Aeropress,"Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",,Pourover,,No - just black,,,,Sweet,Very strong,Medium,Half caff,6.0,1.0,3.0,5.0,Medium body; flavors of baked red apple and ripe persimmon.,3.0,1.0,3.0,"Full bodied; flavor of smores, maybe a bit of roasted nuts.",3.0,1.0,2.0,Lighter body; indiscernible fruit flavor.,1.0,3.0,4.0,"Light bodied; flavors of pear, elderflower, and lime.",Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,"I need the ritual, I need the caffeine, It tastes good",,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Student,,No affiliation
1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,jB9AjR,18-24 years old,2,"At home, On the go","Pour over, Espresso",,Local cafe,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Caramalized,Medium,Medium,Full caffeine,5.0,1.0,4.0,4.0,,5.0,1.0,3.0,,4.0,3.0,5.0,,1.0,5.0,2.0,,Coffee C,Coffee A,Coffee C,,<$20,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",,Yes,No,$10-$15,More than $20,Yes,$50-$100,No,Female,,Doctorate or professional degree,White/Caucasian,,Student,,Democrat
1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,AlbeM0,35-44 years old,2,"At home, At a cafe, At the office, On the go","Pour over, French press, Cold brew",,"Local cafe, National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",,Latte,,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,"Whole milk, Half and half, Coffee creamer, Oat milk","Granulated Sugar, Maple Syrup",Bright,Somewhat strong,Light,Full caffeine,7.0,2.0,3.0,3.0,"Watery, juicy, apple skin, light",4.0,2.0,2.0,"Dad coffee, diner, walnuts, earthy, blend",5.0,2.0,1.0,"Burnt hair, smokey, peat, charcoal",2.0,4.0,4.0,"Blackberry, bright, expected Ethiopian",Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the caffeine",,Yes,Yes,$8-$10,$10-$15,Yes,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1276,1276,1276,1276,1276,1276,1276,1276,1276,1276,NAB1ZQ,35-44 years old,3,"At home, At the office","Coffee brewing machine (e.g. Mr. Coffee), Pour over, Espresso",,,,Cortado,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,,Bold,Somewhat strong,Light,Full caffeine,5.0,1.0,3.0,3.0,,3.0,2.0,3.0,,3.0,2.0,3.0,,1.0,1.0,5.0,"Blueberries, nice mouth feel",Coffee B,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, It makes me go to the bathroom, I need the ritual",,Yes,Yes,$8-$10,$10-$15,Yes,Less than $20,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation
1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,xdN5GG,25-34 years old,2,"At the office, At home",Pour over,,,,Pourover,,No - just black,,,,Fruity,Medium,Light,Full caffeine,6.0,1.0,5.0,2.0,"Very citrusy and acidic, low bitterness. As it cooled the acidity became tamer",4.0,4.0,4.0,"Initially bitter yet sweet, strong chocolate notes. As it cooled the chocolate became more pronounced and there were some brown sugar notes as well",3.0,2.0,3.0,"Initially the cup tasted very balanced with no prominent notes. Bitterness increased as it cooled, some chocolate notes started to come out as well",2.0,4.0,5.0,"Initially very high acidity with little to no bitterness. Very fruity coffee. Bitterness came in as it cooled and balanced the cup, yet still remained acidity and juicy.",Coffee B,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the ritual, I need the caffeine",,Yes,Yes,$6-$8,$10-$15,No,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1278,1278,1278,1278,1278,1278,1278,1278,1278,1278,oAVLJX,18-24 years old,Less than 1,None of these,,,,,Mocha,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,"Almond milk, Oat milk, Whole milk, Flavored coffee creamer","Granulated Sugar, Brown Sugar",Chocolatey,Weak,Italian,Decaf,1.0,3.0,2.0,1.0,"This one made me gag--I was told by my partner that this was a taste test where people who don't like coffee might find a coffee they like, but I really thought all of these mostly sucked (sorry!). I think I am destined to only like very chocolately sugary ice-cold coffee. We are planning to take all of these and ice them and add some oat milk to see if we like it more then!",4.0,2.0,1.0,I also gagged on this one!,3.0,3.0,1.0,"I thought this one seemed not as bitter as the first two, but then I got hit with an awful aftertaste and--you might be able to guess by now--I gagged.",2.0,4.0,2.0,This one tasted the best for me because it was the least bitter and heavy. It didn't make me gag!,Coffee C,Coffee D,Coffee D,I do a mix of both,<$20,"I need the caffeine, It makes me go to the bathroom",,No,No,$4-$6,$4-$6,Yes,Less than $20,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1279,1279,1279,1279,1279,1279,1279,1279,1279,1279,lNlkx5,55-64 years old,4,At home,"French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,,,Espresso,,No - just black,,,,Full Bodied,Somewhat strong,Dark,Full caffeine,9.0,2.0,4.0,2.0,"tart. clean finish, black tea, tannic",1.0,4.0,3.0,"clean finsh, subltle, light cream mouth feel, brazil nut",2.0,3.0,4.0,"balanced, light finish, good, pistachio, white chocolate",2.0,2.0,2.0,"complex, citris, grapefruit, unsweet blueberry, lays on palate, changes a lot as cool, not like it",Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, Other, I need the ritual",one of my passions,Yes,Yes,More than $20,$2-$4,No,$300-$500,Yes,Male,,Master's degree,White/Caucasian,,Retired,2,Independent
1280,1280,1280,1280,1280,1280,1280,1280,1280,1280,ZdRrqa,25-34 years old,2,At home,"French press, Coffee brewing machine (e.g. Mr. Coffee)",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Skim milk,,Caramalized,Medium,Medium,Full caffeine,5.0,1.0,3.0,2.0,"Bright
Slightly sour",2.0,2.0,4.0,"Chocolate, neutral",2.0,2.0,2.0,Toasty,1.0,3.0,4.0,Dried blueberries,Coffee B,Coffee D,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",,Yes,No,$8-$10,$8-$10,Yes,$500-$1000,Yes,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
1281,1281,1281,1281,1281,1281,1281,1281,1281,1281,OABM28,45-54 years old,More than 4,"At home, At the office, On the go","Coffee brewing machine (e.g. Mr. Coffee), Cold brew, Instant coffee",,Local cafe,,Regular drip coffee,,No - just black,,,,Full Bodied,Somewhat strong,Light,Full caffeine,5.0,2.0,3.0,5.0,"Very fruity and enjoyable, but too bold for regular enjoyment.",5.0,1.0,1.0,"This tasted oily, bitter, and dirty; thoroughly unpleasant.",1.0,3.0,4.0,I found this to be a good rendition of an average cup of coffee. I could drink this as an everyday cup of coffee.,1.0,3.0,4.0,I found this to taste like a more mellow version of Klatch. I could drink this routinely as it's not quite so extreme in any of its qualities.,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,"I need the ritual, I need the caffeine, It tastes good",,Yes,Yes,$4-$6,$2-$4,No,$50-$100,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent
1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,xdN5by,25-34 years old,1,"At the office, At home","Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,"Flavored coffee creamer, Almond milk",,Fruity,Somewhat strong,Light,Full caffeine,8.0,3.0,4.0,2.0,Smooth,2.0,3.0,2.0,"Floral, creamy",2.0,1.0,4.0,Nutty,3.0,5.0,5.0,Fruity,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,"It makes me go to the bathroom, It tastes good, I need the caffeine",,Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Female,,Master's degree,White/Caucasian,,Employed part-time,,Independent
1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,ylq5Lp,25-34 years old,Less than 1,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), French press",,,,Pourover,,No - just black,,,,Bright,Medium,Light,Full caffeine,5.0,1.0,4.0,4.0,"bright, fruity, light body",3.0,1.0,2.0,"roasty, cacao, full body",2.0,4.0,3.0,hard to pin down,2.0,4.0,4.0,"funky, complex, cherry liqueur, mushroom, rotting wood",Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,It tastes good,,Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Non-binary,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
1284,1284,1284,1284,1284,1284,1284,1284,1284,1284,0EjR96,25-34 years old,1,At home,Other,Aeropress,,,Other,macchiato,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,2.0,"fig, fermented, funky, ripe, peach",2.0,2.0,3.0,"balanced, light, creamy",5.0,3.0,4.0,"bitter, woody, nutty, balanced",1.0,5.0,4.0,"sour cherry, fruity, bright",Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,,Bachelor's degree,,,,,
1285,1285,1285,1285,1285,1285,1285,1285,1285,1285,dY2eMA,25-34 years old,2,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Regular drip coffee,,No - just black,,,,Full Bodied,Medium,Dark,Full caffeine,5.0,1.0,3.0,3.0,"Low bitterness, acid opens up, apple crisp, pear, bright, brightness at front of pallette",4.0,3.0,2.0,"bitter, balanced, nutty, jammy, toasted grain",4.0,4.0,4.0,"smoky, rich, dark chocolate, cinnamon, nutmeg, heavy, earthy",3.0,4.0,4.0,"high acid back of pallette, complex, funky, tropical, pineapple, fruity, juicy, bright, sharp",Coffee C,Coffee D,Coffee C,I primarily work from home,$80-$100,"I need the ritual, I need the caffeine, It tastes good",,Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,jB9A4x,25-34 years old,4,At home,"Espresso, Other, French press, Cold brew",aeropress,,,Americano,,No - just black,,,,Fruity,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,3.0,"grains, red grape skin, lime juice",2.0,2.0,4.0,"dark chocolate, orange pith, dark bread crust",3.0,2.0,5.0,"chocolate, tannins, grape skin, cherry, apple",3.0,3.0,5.0,"blueberry, strawberry, cherry, dark chocolate",Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,It tastes good,,Yes,Yes,$4-$6,$4-$6,Yes,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,,Democrat
